adverse_event	select_target_uniprot	select_target_symbol
cardio-respiratory_arrest	Q9NYA1	SPHK1
cardio-respiratory_arrest	Q9UHL4	DPP7
cardio-respiratory_arrest	Q9UM73	ALK
cardio-respiratory_arrest	Q9UNA0	ADAMTS5
cardio-respiratory_arrest	Q9Y233	PDE10A
cardio-respiratory_arrest	Q9Y5Y6	ST14
sudden_death	P07339	CTSD
sudden_death	P13497	BMP1
sudden_death	P14780	MMP9
sudden_death	P29275	ADORA2B
sudden_death	P30968	GNRHR
sudden_death	P34998	CRHR1
sudden_death	P37058	HSD17B3
sudden_death	P45452	MMP13
sudden_death	P62942	FKBP1A
sudden_death	Q96EB6	SIRT1
ventricular_fibrillation	O94925	GLS
ventricular_fibrillation	P04150	NR3C1
ventricular_fibrillation	P05129	PRKCG
ventricular_fibrillation	P06401	PGR
ventricular_fibrillation	P07858	CTSB
ventricular_fibrillation	P13497	BMP1
ventricular_fibrillation	P27338	MAOB
ventricular_fibrillation	P35348	ADRA1A
ventricular_fibrillation	P35354	PTGS2
ventricular_fibrillation	P43088	PTGFR
ventricular_fibrillation	P43405	SYK
ventricular_fibrillation	Q01959	SLC6A3
ventricular_fibrillation	Q05655	PRKCD
ventricular_fibrillation	Q16769	QPCT
ventricular_fibrillation	Q6V1X1	DPP8
ventricular_fibrillation	Q92731	ESR2
ventricular_fibrillation	Q9Y5N1	HRH3
dizziness	O15379	HDAC3
dizziness	O60674	JAK2
dizziness	P00374	DHFR
dizziness	P00748	F12
dizziness	P00797	REN
dizziness	P07384	CAPN1
dizziness	P07949	RET
dizziness	P08172	CHRM2
dizziness	P08246	ELANE
dizziness	P08311	CTSG
dizziness	P08709	F7
dizziness	P08908	HTR1A
dizziness	P08912	CHRM5
dizziness	P08913	ADRA2A
dizziness	P09467	FBP1
dizziness	P09619	PDGFRB
dizziness	P10826	RARB
dizziness	P13497	BMP1
dizziness	P13612	ITGA4
dizziness	P14867	GABRA1
dizziness	P20292	ALOX5AP
dizziness	P21728	DRD1
dizziness	P22303	ACHE
dizziness	P22460	KCNA5
dizziness	P23458	JAK1
dizziness	P23975	SLC6A2
dizziness	P25021	HRH2
dizziness	P25090	FPR2
dizziness	P27338	MAOB
dizziness	P27815	PDE4A
dizziness	P30291	WEE1
dizziness	P30411	BDKRB2
dizziness	P30874	SSTR2
dizziness	P35367	HRH1
dizziness	P39748	FEN1
dizziness	P40238	MPL
dizziness	P41143	OPRD1
dizziness	P41145	OPRK1
dizziness	P43119	PTGIR
dizziness	P47871	GCGR
dizziness	P51677	CCR3
dizziness	P55210	CASP7
dizziness	P56524	HDAC4
dizziness	P56817	BACE1
dizziness	P62942	FKBP1A
dizziness	P68400	CSNK2A1
dizziness	P78536	ADAM17
dizziness	Q01959	SLC6A3
dizziness	Q05655	PRKCD
dizziness	Q07869	PPARA
dizziness	Q13002	GRIK2
dizziness	Q14416	GRM2
dizziness	Q15059	BRD3
dizziness	Q16769	QPCT
dizziness	Q8TCT1	PHOSPHO1
dizziness	Q9BUB5	MKNK1
dizziness	Q9BY41	HDAC8
dizziness	Q9UNA0	ADAMTS5
dizziness	Q9Y233	PDE10A
presyncope	O14965	AURKA
presyncope	P06493	CDK1
presyncope	P10275	AR
presyncope	P10826	RARB
presyncope	P14780	MMP9
presyncope	P15056	BRAF
presyncope	P16455	MGMT
presyncope	P42338	PIK3CB
presyncope	P48147	PREP
presyncope	P49146	NPY2R
presyncope	P53582	METAP1
presyncope	Q13002	GRIK2
presyncope	Q86X55	CARM1
presyncope	Q969S8	HDAC10
presyncope	Q9Y2D0	CA5B
syncope	O00519	FAAH
syncope	O14965	AURKA
syncope	O15379	HDAC3
syncope	O15530	PDPK1
syncope	O43613	HCRTR1
syncope	O96017	CHEK2
syncope	P03952	KLKB1
syncope	P07900	HSP90AA1
syncope	P08912	CHRM5
syncope	P10826	RARB
syncope	P10828	THRB
syncope	P12821	ACE
syncope	P13612	ITGA4
syncope	P14780	MMP9
syncope	P15056	BRAF
syncope	P24530	EDNRB
syncope	P25021	HRH2
syncope	P30291	WEE1
syncope	P34913	EPHX2
syncope	P35367	HRH1
syncope	P37288	AVPR1A
syncope	P43235	CTSK
syncope	P48736	PIK3CG
syncope	P53779	MAPK10
syncope	P62942	FKBP1A
syncope	P68400	CSNK2A1
syncope	Q14416	GRM2
syncope	Q16769	QPCT
syncope	Q8TCT1	PHOSPHO1
syncope	Q8TDS4	HCAR2
syncope	Q92847	GHSR
syncope	Q96GD4	AURKB
syncope	Q9NYA1	SPHK1
syncope	Q9Y233	PDE10A
dyspnoea	O60674	JAK2
dyspnoea	O94925	GLS
dyspnoea	P00915	CA1
dyspnoea	P03956	MMP1
dyspnoea	P07949	RET
dyspnoea	P08172	CHRM2
dyspnoea	P10721	KIT
dyspnoea	P10828	THRB
dyspnoea	P12821	ACE
dyspnoea	P14324	FDPS
dyspnoea	P14780	MMP9
dyspnoea	P16455	MGMT
dyspnoea	P23280	CA6
dyspnoea	P25021	HRH2
dyspnoea	P27487	DPP4
dyspnoea	P28482	MAPK1
dyspnoea	P30556	AGTR1
dyspnoea	P35218	CA5A
dyspnoea	P45452	MMP13
dyspnoea	P49286	MTNR1B
dyspnoea	P49768	PSEN1
dyspnoea	P53667	LIMK1
dyspnoea	P56524	HDAC4
dyspnoea	P78536	ADAM17
dyspnoea	Q13002	GRIK2
dyspnoea	Q15059	BRD3
dyspnoea	Q16581	C3AR1
dyspnoea	Q16769	QPCT
dyspnoea	Q86TI2	DPP9
dyspnoea	Q86X55	CARM1
dyspnoea	Q96EB6	SIRT1
dyspnoea	Q9H244	P2RY12
dyspnoea	Q9Y251	HPSE
dyspnoea_exertional	O14757	CHEK1
dyspnoea_exertional	O43613	HCRTR1
dyspnoea_exertional	O95822	MLYCD
dyspnoea_exertional	P03951	F11
dyspnoea_exertional	P03956	MMP1
dyspnoea_exertional	P04035	HMGCR
dyspnoea_exertional	P06213	INSR
dyspnoea_exertional	P07550	ADRB2
dyspnoea_exertional	P07711	CTSL
dyspnoea_exertional	P07949	RET
dyspnoea_exertional	P14867	GABRA1
dyspnoea_exertional	P15538	CYP11B1
dyspnoea_exertional	P16455	MGMT
dyspnoea_exertional	P19438	TNFRSF1A
dyspnoea_exertional	P22894	MMP8
dyspnoea_exertional	P23458	JAK1
dyspnoea_exertional	P34972	CNR2
dyspnoea_exertional	P35462	DRD3
dyspnoea_exertional	P37231	PPARG
dyspnoea_exertional	P42574	CASP3
dyspnoea_exertional	P43088	PTGFR
dyspnoea_exertional	P43116	PTGER2
dyspnoea_exertional	P43119	PTGIR
dyspnoea_exertional	P47869	GABRA2
dyspnoea_exertional	P48147	PREP
dyspnoea_exertional	P49137	MAPKAPK2
dyspnoea_exertional	P50579	METAP2
dyspnoea_exertional	P53667	LIMK1
dyspnoea_exertional	P55263	ADK
dyspnoea_exertional	P78536	ADAM17
dyspnoea_exertional	P80365	HSD11B2
dyspnoea_exertional	Q02750	MAP2K1
dyspnoea_exertional	Q14416	GRM2
dyspnoea_exertional	Q6V1X1	DPP8
dyspnoea_exertional	Q86X55	CARM1
dyspnoea_exertional	Q9BUB5	MKNK1
dyspnoea_exertional	Q9BY41	HDAC8
dyspnoea_exertional	Q9H244	P2RY12
dyspnoea_exertional	Q9NTG7	SIRT3
mitral_valve_incompetence	O15379	HDAC3
mitral_valve_incompetence	O95822	MLYCD
mitral_valve_incompetence	P03956	MMP1
mitral_valve_incompetence	P04035	HMGCR
mitral_valve_incompetence	P04626	ERBB2
mitral_valve_incompetence	P05067	APP
mitral_valve_incompetence	P06213	INSR
mitral_valve_incompetence	P07550	ADRB2
mitral_valve_incompetence	P13612	ITGA4
mitral_valve_incompetence	P16109	SELP
mitral_valve_incompetence	P29275	ADORA2B
mitral_valve_incompetence	P35348	ADRA1A
mitral_valve_incompetence	P37268	FDFT1
mitral_valve_incompetence	P47869	GABRA2
mitral_valve_incompetence	P48058	GRIA4
mitral_valve_incompetence	P49286	MTNR1B
mitral_valve_incompetence	P68400	CSNK2A1
mitral_valve_incompetence	Q05655	PRKCD
mitral_valve_incompetence	Q6V1X1	DPP8
mitral_valve_incompetence	Q86TI2	DPP9
mitral_valve_incompetence	Q9NYA1	SPHK1
coronary_artery_disease	O14684	PTGES
coronary_artery_disease	O15379	HDAC3
coronary_artery_disease	O75116	ROCK2
coronary_artery_disease	P00918	CA2
coronary_artery_disease	P08514	ITGA2B
coronary_artery_disease	P10826	RARB
coronary_artery_disease	P11086	PNMT
coronary_artery_disease	P16109	SELP
coronary_artery_disease	P17612	PRKACA
coronary_artery_disease	P29274	ADORA2A
coronary_artery_disease	P34998	CRHR1
coronary_artery_disease	P39748	FEN1
coronary_artery_disease	P43116	PTGER2
coronary_artery_disease	P43119	PTGIR
coronary_artery_disease	P49146	NPY2R
coronary_artery_disease	P49286	MTNR1B
coronary_artery_disease	P56524	HDAC4
coronary_artery_disease	P61073	CXCR4
coronary_artery_disease	Q7Z601	GPR142
coronary_artery_disease	Q9GZT9	EGLN1
coronary_artery_disease	Q9Y251	HPSE
acute_myocardial_infarction	O94925	GLS
acute_myocardial_infarction	O95399	UTS2
acute_myocardial_infarction	P00918	CA2
acute_myocardial_infarction	P06239	LCK
acute_myocardial_infarction	P09467	FBP1
acute_myocardial_infarction	P11229	CHRM1
acute_myocardial_infarction	P16109	SELP
acute_myocardial_infarction	P17612	PRKACA
acute_myocardial_infarction	P25090	FPR2
acute_myocardial_infarction	P31391	SSTR4
acute_myocardial_infarction	P35354	PTGS2
acute_myocardial_infarction	P42892	ECE1
acute_myocardial_infarction	P43004	SLC1A2
acute_myocardial_infarction	P43116	PTGER2
acute_myocardial_infarction	P43235	CTSK
acute_myocardial_infarction	P53350	PLK1
acute_myocardial_infarction	P55263	ADK
acute_myocardial_infarction	P62937	PPIA
acute_myocardial_infarction	P78536	ADAM17
acute_myocardial_infarction	Q01959	SLC6A3
acute_myocardial_infarction	Q05655	PRKCD
acute_myocardial_infarction	Q13002	GRIK2
acute_myocardial_infarction	Q86X55	CARM1
acute_myocardial_infarction	Q9Y5N1	HRH3
angina_pectoris	P04035	HMGCR
angina_pectoris	P04626	ERBB2
angina_pectoris	P31391	SSTR4
angina_pectoris	P42892	ECE1
angina_pectoris	Q05655	PRKCD
angina_pectoris	Q16769	QPCT
angina_pectoris	Q6V1X1	DPP8
angina_pectoris	Q86TI2	DPP9
angina_pectoris	Q86X55	CARM1
angina_unstable	O96017	CHEK2
angina_unstable	P00918	CA2
angina_unstable	P03956	MMP1
angina_unstable	P04035	HMGCR
angina_unstable	P08246	ELANE
angina_unstable	P09467	FBP1
angina_unstable	P10826	RARB
angina_unstable	P12821	ACE
angina_unstable	P14902	IDO1
angina_unstable	P22894	MMP8
angina_unstable	P23280	CA6
angina_unstable	P25116	F2R
angina_unstable	P29274	ADORA2A
angina_unstable	P35354	PTGS2
angina_unstable	P53667	LIMK1
angina_unstable	Q07912	TNK2
angina_unstable	Q16445	GABRA6
angina_unstable	Q96EB6	SIRT1
angina_unstable	Q99685	MGLL
angina_unstable	Q99808	SLC29A1
angina_unstable	Q9GZT9	EGLN1
angina_unstable	Q9Y251	HPSE
chest_pain	O15379	HDAC3
chest_pain	P00797	REN
chest_pain	P06213	INSR
chest_pain	P06493	CDK1
chest_pain	P07949	RET
chest_pain	P08172	CHRM2
chest_pain	P08246	ELANE
chest_pain	P08912	CHRM5
chest_pain	P10826	RARB
chest_pain	P10828	THRB
chest_pain	P14780	MMP9
chest_pain	P20309	CHRM3
chest_pain	P21728	DRD1
chest_pain	P22303	ACHE
chest_pain	P23975	SLC6A2
chest_pain	P24941	CDK2
chest_pain	P25021	HRH2
chest_pain	P29274	ADORA2A
chest_pain	P31391	SSTR4
chest_pain	P35367	HRH1
chest_pain	P37268	FDFT1
chest_pain	P41143	OPRD1
chest_pain	P41145	OPRK1
chest_pain	P43088	PTGFR
chest_pain	P43235	CTSK
chest_pain	P50281	MMP14
chest_pain	P53667	LIMK1
chest_pain	P53779	MAPK10
chest_pain	P62942	FKBP1A
chest_pain	Q01959	SLC6A3
chest_pain	Q05655	PRKCD
chest_pain	Q07869	PPARA
chest_pain	Q13002	GRIK2
chest_pain	Q16445	GABRA6
chest_pain	Q16769	QPCT
chest_pain	Q86TI2	DPP9
chest_pain	Q8TCT1	PHOSPHO1
chest_pain	Q9H244	P2RY12
chest_pain	Q9NYA1	SPHK1
chest_pain	Q9UNA0	ADAMTS5
myocardial_infarction	O14920	IKBKB
myocardial_infarction	O94925	GLS
myocardial_infarction	O96017	CHEK2
myocardial_infarction	P00918	CA2
myocardial_infarction	P07858	CTSB
myocardial_infarction	P08172	CHRM2
myocardial_infarction	P08684	CYP3A4
myocardial_infarction	P08913	ADRA2A
myocardial_infarction	P10826	RARB
myocardial_infarction	P12821	ACE
myocardial_infarction	P13726	F3
myocardial_infarction	P14416	DRD2
myocardial_infarction	P14780	MMP9
myocardial_infarction	P15056	BRAF
myocardial_infarction	P16455	MGMT
myocardial_infarction	P17612	PRKACA
myocardial_infarction	P21731	TBXA2R
myocardial_infarction	P22894	MMP8
myocardial_infarction	P23280	CA6
myocardial_infarction	P23458	JAK1
myocardial_infarction	P27487	DPP4
myocardial_infarction	P29275	ADORA2B
myocardial_infarction	P29466	CASP1
myocardial_infarction	P31391	SSTR4
myocardial_infarction	P32297	CHRNA3
myocardial_infarction	P35346	SSTR5
myocardial_infarction	P35408	PTGER4
myocardial_infarction	P37268	FDFT1
myocardial_infarction	P37288	AVPR1A
myocardial_infarction	P41145	OPRK1
myocardial_infarction	P42345	MTOR
myocardial_infarction	P42574	CASP3
myocardial_infarction	P42892	ECE1
myocardial_infarction	P43119	PTGIR
myocardial_infarction	P43166	CA7
myocardial_infarction	P48058	GRIA4
myocardial_infarction	P49286	MTNR1B
myocardial_infarction	P53667	LIMK1
myocardial_infarction	P55055	NR1H2
myocardial_infarction	P55072	VCP
myocardial_infarction	P55212	CASP6
myocardial_infarction	P62942	FKBP1A
myocardial_infarction	P78536	ADAM17
myocardial_infarction	Q12908	SLC10A2
myocardial_infarction	Q13002	GRIK2
myocardial_infarction	Q14432	PDE3A
myocardial_infarction	Q15059	BRD3
myocardial_infarction	Q16445	GABRA6
myocardial_infarction	Q16665	HIF1A
myocardial_infarction	Q7Z601	GPR142
myocardial_infarction	Q86TI2	DPP9
myocardial_infarction	Q86X55	CARM1
myocardial_infarction	Q8TDS4	HCAR2
myocardial_infarction	Q969S8	HDAC10
myocardial_infarction	Q96EB6	SIRT1
myocardial_infarction	Q99500	S1PR3
myocardial_infarction	Q9BUB5	MKNK1
myocardial_infarction	Q9ULX7	CA14
myocardial_infarction	Q9Y5N1	HRH3
oedema_peripheral	O14920	IKBKB
oedema_peripheral	O94925	GLS
oedema_peripheral	O95822	MLYCD
oedema_peripheral	P00374	DHFR
oedema_peripheral	P00797	REN
oedema_peripheral	P00915	CA1
oedema_peripheral	P00918	CA2
oedema_peripheral	P06213	INSR
oedema_peripheral	P06239	LCK
oedema_peripheral	P07900	HSP90AA1
oedema_peripheral	P10275	AR
oedema_peripheral	P11309	PIM1
oedema_peripheral	P13612	ITGA4
oedema_peripheral	P14780	MMP9
oedema_peripheral	P14867	GABRA1
oedema_peripheral	P15056	BRAF
oedema_peripheral	P23458	JAK1
oedema_peripheral	P24941	CDK2
oedema_peripheral	P25116	F2R
oedema_peripheral	P30542	ADORA1
oedema_peripheral	P31749	AKT1
oedema_peripheral	P35354	PTGS2
oedema_peripheral	P37268	FDFT1
oedema_peripheral	P43116	PTGER2
oedema_peripheral	P43235	CTSK
oedema_peripheral	P55055	NR1H2
oedema_peripheral	P68400	CSNK2A1
oedema_peripheral	P80365	HSD11B2
oedema_peripheral	Q12908	SLC10A2
oedema_peripheral	Q6V1X1	DPP8
oedema_peripheral	Q969S8	HDAC10
oedema_peripheral	Q99685	MGLL
oedema_peripheral	Q99720	SIGMAR1
oedema_peripheral	Q9BUB5	MKNK1
oedema_peripheral	Q9BY41	HDAC8
oedema_peripheral	Q9H244	P2RY12
oedema_peripheral	Q9NYA1	SPHK1
cardiac_failure	O00519	FAAH
