group	disease_term
lung	respiratory distress syndrome, newborn
lung	choreoathetosis, hypothyroidism, and neonatal respiratory distress
lung	respiratory system abnormalities
lung	retinitis pigmentosa, x-linked, and sinorespiratory infections, with or without deafness
lung	granuloma, respiratory tract
lung	hereditary myopathy with early respiratory failure
heart	cardiomyopathy, dilated, 1o
heart	cardiomyopathy, dilated
heart	arrhythmias, cardiac
heart	cardiovascular diseases
heart	myocardial infarction
heart	cardiomyopathies
heart	endomyocardial fibrosis
heart	myocardial ischemia
heart	cardiomyopathy, familial hypertrophic, 11
heart	cardiomyopathy, dilated, 1aa
heart	myocardial reperfusion injury
heart	bradycardia
heart	cardiomegaly
heart	cataract and cardiomyopathy
heart	cardiomyopathy, alcoholic
heart	cardiovascular abnormalities
heart	diabetic cardiomyopathies
heart	tachycardia
heart	cardiac conduction defect
heart	cardiac arrhythmia, ankyrin-b-related
heart	edema, cardiac
heart	myocardial stunning
heart	cardiomyopathy, dilated, 1hh
heart	cardiotoxicity
heart	cardiofaciocutaneous syndrome
heart	tachycardia, supraventricular
heart	polymorphic catecholergic ventricular tachycardia
heart	tachycardia, ventricular
heart	ventricular tachycardia, catecholaminergic polymorphic, 1, with or without atrial dysfunction and/or dilated cardiomyopathy
heart	cardiomyopathy, familial hypertrophic, 1
heart	myocarditis
heart	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency
heart	ehlers-danlos syndrome, cardiac valvular form
heart	cardiomyopathy, dilated, 1ii
heart	cardiomyopathy, dilated, 1m
heart	cardiomyopathy, familial hypertrophic, 12
heart	tachycardia, sinus
heart	cardiomyopathy, dilated, 1i
heart	cardiomyopathy, dilated, 3b
heart	cardiomyopathy, dilated, 1bb
heart	cardiomyopathy dilated with woolly hair and keratoderma
heart	cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis
heart	death, sudden, cardiac
heart	hirschsprung disease, cardiac defects, and autonomic dysfunction
heart	shock, cardiogenic
heart	cayler cardiofacial syndrome
heart	cardiomyopathy, dilated, 1j
heart	infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations
heart	pregnancy complications, cardiovascular
heart	cardiomyopathy, hypertrophic
heart	cardiomyopathy, dilated, 1x
heart	cardiac valvular dysplasia, x-linked
heart	cardiomyopathy, familial hypertrophic, 26
heart	cardiomyopathy, dilated, 2b
heart	ventricular tachycardia, familial
heart	intellectual developmental disorder with cardiac arrhythmia
heart	cardiomyopathy, familial hypertrophic, 17
heart	cardiomyopathy, dilated, 1jj
heart	cardiomyopathy, dilated, 1c
heart	st elevation myocardial infarction
heart	muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue
heart	cardiomyopathy, dilated, with hypergonadotropic hypogonadism
heart	cardiac malformation, cleft lip-palate, microcephaly and digital anomalies
heart	cardiac output, low
heart	cardiomyopathy, familial hypertrophic, 4
heart	cardiomyopathy, hypertrophic, familial
heart	cardiomyopathy, dilated, 1ee
heart	cardiomyopathy, familial hypertrophic, 14
heart	cardiomyopathy, dilated, 1s
heart	cardiomyopathy, familial hypertrophic, 10
heart	cardiomyopathy, familial hypertrophic, 8
heart	deafness, autosomal dominant 22;dfna22 deafness, autosomal dominant 22, with hypertrophic cardiomyopathy,
heart	cardiomyopathy, familial hypertrophic, 16
heart	cardiomyopathy, dilated, 1kk
heart	cardiomyopathy, dilated, 1cc
heart	cardiomyopathy, familial hypertrophic, 20
heart	cardiac output, high
heart	mitochondrial dna depletion syndrome 14 (cardioencephalomyopathic type)
heart	cardiovirus infections
heart	cardiac tamponade
heart	pericardial effusion
heart	cardiomyopathy, dilated, 1p
heart	cardiomyopathy, familial hypertrophic, 18
heart	sudden cardiac failure, alcohol-induced
heart	sudden cardiac failure, infantile
heart	pericarditis
heart	cardiomyopathy, familial hypertrophic, 6
heart	cardiomyopathy, dilated, 1u
heart	cardiomyopathy, dilated, 1v
heart	cardiomyopathy, dilated, 1nn
heart	cardiomyopathy, dilated, 1dd
heart	cardiomyopathy, dilated, 1e
heart	cardiomyopathy, dilated, 1l
heart	mitochondrial dna depletion syndrome 12a (cardiomyopathic type), autosomal dominant
heart	mitochondrial dna depletion syndrome 12b (cardiomyopathic type), autosomal recessive
heart	pseudohyperkalemia cardiff
heart	cardiomyopathy, dilated, 1n
heart	cardiomyopathy, dilated, 1z
heart	cardiomyopathy, familial hypertrophic, 13
heart	cardiomyopathy, dilated, 1ff
heart	cardiomyopathy, dilated, 2a
heart	cardiomyopathy, familial hypertrophic, 7
heart	cardiomyopathy, familial restrictive, 1
heart	cardiomyopathy, restrictive
heart	cardiac conduction disease with or without dilated cardiomyopathy
heart	cardiomyopathy, dilated, 1d
heart	cardiomyopathy, familial hypertrophic, 2
heart	cardiomyopathy, familial restrictive, 3
heart	cardiomyopathy, dilated, 1y
heart	cardiomyopathy, familial hypertrophic, 3
heart	ventricular tachycardia, catecholaminergic polymorphic, 5, with or without muscle weakness
heart	cardiomyopathy, dilated, 1g
heart	cardiomyopathy, familial hypertrophic, 9
heart	familial dilated cardiomyopathy
heart	myopathy, early-onset, with fatal cardiomyopathy
heart	cardiomyopathy, dilated, 1w
heart	cardiomyopathy, familial hypertrophic, 15
heart	dextrocardia
heart	heart defects, congenital
heart	heart diseases
heart	heart failure
heart	heart valve diseases
heart	heart failure, diastolic
heart	heart injuries
heart	heart failure, systolic
heart	heart block
heart	congenital heart defects, dysmorphic facial features, and intellectual developmental disorder
heart	heart septal defects
heart	heart septal defects, ventricular
heart	conotruncal heart malformations
heart	heart defects, congenital, and other congenital anomalies
heart	congenital heart defects, multiple types, 6
heart	hypoplastic left heart syndrome
heart	heart arrest
heart	heart septal defects, atrial
heart	congenital heart defects, multiple types, 4
heart	heart rupture, post-infarction
heart	glycogen storage disease of heart, lethal congenital
heart	congenital heart defects and ectodermal dysplasia
heart	progressive familial heart block, type ia
heart	heart and brain malformation syndrome
heart	congenital heart defects, multiple types, 2
heart	progressive familial heart block, type ib
heart	arterial occlusive disease, progressive, with hypertension, heart defects, bone fragility, and brachysyndactyly
heart	atrial fibrillation, familial, 12
heart	atrial fibrillation
heart	atrial septal defect 5
heart	atrial septal defect 8
heart	atrial septal defect 2
heart	atrial septal defect 9
heart	atrial fibrillation, familial, 11
heart	atrial standstill
heart	atrial fibrillation, familial, 7
heart	atrial fibrillation, familial, 4
heart	atrial fibrillation, familial, 9
heart	atrial fibrillation, familial, 3
heart	sinoatrial block
heart	atrial septal defect 3
heart	atrial fibrillation, familial, 18
heart	atrial septal defect 7 with or without atrioventricular conduction defects
heart	atrial fibrillation, familial, 6
heart	atrial fibrillation, familial, 15
heart	atrial myxoma, familial
heart	atrial fibrillation, familial, 13
heart	atrial fibrillation, familial, 14
heart	atrial fibrillation, familial, 10
heart	chronic atrial and intestinal dysrhythmia
heart	atrial septal defect 4
heart	atrial septal defect 6
heart	hypertrophy, left ventricular
heart	ventricular dysfunction, left
heart	ventricular dysfunction
heart	ventricular remodeling
heart	heterotopia, periventricular, autosomal recessive
heart	atrioventricular septal defect, partial, with heterotaxy syndrome
heart	arrhythmogenic right ventricular dysplasia, familial, 13
heart	paroxysmal ventricular fibrillation
heart	arrhythmogenic right ventricular dysplasia, familial, 11
heart	arrhythmogenic right ventricular dysplasia, familial, 10
heart	arrhythmogenic right ventricular dysplasia, familial, 8
heart	left ventricular noncompaction 1
heart	ventricular fibrillation
heart	periventricular nodular heterotopia
heart	heterotopia, periventricular, ehlers-danlos variant
heart	atrioventricular septal defect
heart	atrioventricular block
heart	ventricular outflow obstruction
heart	arrhythmogenic right ventricular dysplasia, familial, 12
heart	hypertrophy, right ventricular
heart	left ventricular noncompaction 7
heart	left ventricular noncompaction 10
heart	ventricular premature complexes
heart	ventricular dysfunction, right
heart	arrhythmogenic right ventricular dysplasia, familial, 9
heart	left ventricular noncompaction 8
heart	arrhythmogenic right ventricular dysplasia, familial, 2
heart	arrhythmogenic right ventricular dysplasia, familial, 1
heart	arrhythmogenic right ventricular dysplasia, familial, 5
heart	coronary artery disease
heart	coronary disease
heart	coronary restenosis
heart	acute coronary syndrome
heart	coronary vasospasm
heart	coronary vessel anomalies
heart	coronary aneurysm
heart	coronary stenosis
heart	coronary thrombosis
heart	coronary artery disease, autosomal dominant 2
heart	coronary artery disease, autosomal dominant, 1
liver	liver neoplasms
liver	adenoma, liver cell
liver	liver cirrhosis
liver	liver cirrhosis, experimental
liver	chemical and drug induced liver injury
liver	end stage liver disease
liver	liver cirrhosis, biliary
liver	liver diseases
liver	non-alcoholic fatty liver disease
liver	liver failure
liver	liver neoplasms, experimental
liver	liver failure, acute
liver	fatty liver
liver	liver cirrhosis, alcoholic
liver	liver diseases, parasitic
liver	fatty liver, alcoholic
liver	glycogen storage disease 0, liver
liver	infantile liver failure syndrome 1
liver	interstitial lung and liver disease
liver	infantile liver failure syndrome 2
liver	liver diseases, alcoholic
liver	polycystic liver disease
liver	liver failure, infantile, transient
liver	hepatomegaly
liver	carcinoma, hepatocellular
liver	hepatolenticular degeneration
liver	cholestasis, benign recurrent intrahepatic, 2
liver	cholestasis, intrahepatic
liver	cholestasis, progressive familial intrahepatic 1
liver	cholestasis, progressive familial intrahepatic 2
liver	cholestasis, progressive familial intrahepatic 3
liver	intrahepatic cholestasis of pregnancy
liver	hepatitis, chronic
liver	porphyria, acute hepatic
liver	porphyrias, hepatic
liver	hepatic insufficiency
liver	hepatitis
liver	hepatitis, autoimmune
liver	hepatitis, alcoholic
liver	hepatitis b, chronic
liver	hepatitis c
liver	hepatic veno-occlusive disease
liver	hepatoblastoma
liver	hepatitis b
liver	hepatitis, animal
liver	mitochondrial dna depletion syndrome 3 (hepatocerebral type)
liver	hepatorenal syndrome
liver	peliosis hepatis
liver	infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations
liver	hepatorenal form of glycogen storage disease
liver	hepatic encephalopathy
liver	hepatic adenomas, familial
liver	hepatitis c, chronic
liver	growth retardation, impaired intellectual development, hypotonia, and hepatopathy
liver	hepatic fibrosis, congenital
liver	hepatic lipase deficiency
liver	navajo neurohepatopathy
liver	renal-hepatic-pancreatic dysplasia 1
liver	renal hepatic pancreatic dysplasia dandy walker cyst
liver	cholestasis, progressive familial intrahepatic, 5
liver	massive hepatic necrosis
liver	trichohepatoenteric syndrome
liver	cryohydrocytosis, stomatin-deficient, with mental retardation, seizures, cataracts, and massive hepatosplenomegaly
liver	hepatic venoocclusive disease with immunodeficiency
liver	mitochondrial dna depletion syndrome 15 (hepatocerebral type)
liver	cholestasis, progressive familial intrahepatic, 4
liver	mitochondrial dna depletion syndrome 7 (hepatocerebral type)
colon	colonic neoplasms
colon	megacystis microcolon intestinal hypoperistalsis syndrome
colon	colonic polyps
colon	lynch syndrome i (site-specific colonic cancer)
colon	goldberg-shprintzen megacolon syndrome
colon	megacolon
colon	enterocolitis, necrotizing
colon	colitis
colon	colitis, ulcerative
colon	enterocolitis
colon	autoinflammation with infantile enterocolitis
kidney	acute kidney injury
kidney	kidney failure, chronic
kidney	kidney neoplasms
kidney	kidney diseases
kidney	polycystic kidney disease, potter type i, with microbrachycephaly, hypertelorism, and brachymelia
kidney	kidney diseases, cystic
kidney	polycystic kidney, autosomal dominant
kidney	polycystic kidney, autosomal recessive
kidney	kidney calculi
kidney	kidney tubular necrosis, acute
kidney	autoimmune interstitial lung, joint, and kidney disease
kidney	cystic kidney disease with ventriculomegaly
kidney	medullary cystic kidney disease 1
kidney	polycystic kidney diseases
kidney	glomerulocystic kidney disease with hyperuricemia and isosthenuria
kidney	medullary cystic kidney disease 2
kidney	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs
kidney	renal insufficiency
kidney	renal tubular dysgenesis
kidney	carcinoma, renal cell
kidney	hypertension, renal
kidney	renal insufficiency, chronic
kidney	renal tubular acidosis, distal, autosomal recessive
kidney	renal tubular acidosis, distal, with progressive nerve deafness
kidney	osteopetrosis with renal tubular acidosis
kidney	toe syndactyly, telecanthus, and anogenital and renal malformations
kidney	hereditary renal agenesis
kidney	nephrolithiasis, x-linked recessive, with renal failure
kidney	hypomagnesemia 5, renal, with ocular involvement
kidney	hypomagnesemia 6, renal
kidney	clear-cell metastatic renal cell carcinoma
kidney	renal hypodysplasia, nonsyndromic, 1
kidney	hepatorenal syndrome
kidney	hypomagnesemia 4, renal
kidney	branchio-oto-renal syndrome
kidney	hereditary leiomyomatosis and renal cell cancer
kidney	oncocytoma, renal
kidney	hypomagnesemia 2, renal
kidney	hepatorenal form of glycogen storage disease
kidney	renal cysts and diabetes syndrome
kidney	renal-hepatic-pancreatic dysplasia 1
kidney	renal hepatic pancreatic dysplasia dandy walker cyst
kidney	oculocerebrorenal syndrome
kidney	papillorenal syndrome
kidney	mitochondrial dna depletion syndrome 8a (encephalomyopathic type with renal tubulopathy)
kidney	hyperuricemia, pulmonary hypertension, renal failure, and alkalosis syndrome
kidney	renal hypouricemia
kidney	hypouricemia, renal, 2
kidney	acidosis, renal tubular
kidney	renal tubular acidosis, distal, with hemolytic anemia
kidney	renal tubular acidosis, proximal, with ocular abnormalities and mental retardation
kidney	glycosuria, renal
kidney	hypotrichosis-lymphedema-telangiectasia-renal defect syndrome
kidney	multicystic renal dysplasia, bilateral
kidney	arthrogryposis renal dysfunction cholestasis syndrome
kidney	nephrotic syndrome
kidney	diabetic nephropathies
kidney	nephrogenic fibrosing dermopathy
kidney	nephrosclerosis
kidney	nephrosis
kidney	midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis
kidney	nephronophthisis 16
kidney	diabetes insipidus, nephrogenic
kidney	nephrotic syndrome, type 8
kidney	nephrogenic syndrome of inappropriate antidiuresis
kidney	nephropathy with pretibial epidermolysis bullosa and deafness
kidney	nephronophthisis 15
kidney	nephronophthisis 18
kidney	low molecular weight proteinuria with hypercalciuria and nephrocalcinosis
kidney	angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps
kidney	nephrotic syndrome, type 9
kidney	cystinosis, late-onset juvenile or adolescent nephropathic type
kidney	nephrolithiasis
kidney	nephronophthisis 19
kidney	nephrotic syndrome, type 7
kidney	nephroblastomatosis, fetal ascites, macrosomia and wilms tumor
kidney	hydronephrosis
kidney	nephrotic syndrome, type 10
kidney	nephronophthisis 7
kidney	nephronophthisis 2
kidney	interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital
kidney	nephrotic syndrome, type 5, with or without ocular abnormalities
kidney	nephronophthisis 20
kidney	nephronophthisis 9
kidney	nephronophthisis, familial juvenile
kidney	nephronophthisis 3
kidney	nephronophthisis 4
kidney	nephrosis, congenital
kidney	nephrosis, lipoid
kidney	nephrotic syndrome, idiopathic, steroid-resistant
kidney	nephrotic syndrome, type 11
kidney	nephrotic syndrome, type 13
kidney	nephrotic syndrome, type 12
kidney	nephrocalcinosis
kidney	nephrotic syndrome, type 3
kidney	nephrotic syndrome, type 6
kidney	hyperuricemic nephropathy, familial juvenile 2
kidney	hyperuricemic nephropathy, familial juvenile, 4
kidney	nephrolithiasis, calcium oxalate
kidney	nephrolithiasis/osteoporosis, hypophosphatemic, 1
kidney	nephrolithiasis/osteoporosis, hypophosphatemic, 2
kidney	nephronophthisis 11
kidney	balkan nephropathy
kidney	nephronophthisis 12
kidney	hyperuricemic nephropathy, familial juvenile, 1
kidney	nephrotic syndrome, type 4
kidney	nephronophthisis-like nephropathy 1
kidney	nephrolithiasis, uric acid, susceptibility to
kidney	nephronophthisis 14
muscle	muscle hypotonia
muscle	musculoskeletal abnormalities
muscle	muscular dystrophy, facioscapulohumeral
muscle	muscular dystrophies
muscle	muscular atrophy
muscle	muscular diseases
muscle	muscle weakness
muscle	miyoshi muscular dystrophy 3
muscle	muscular dystrophy, limb-girdle, type 2l
muscle	spinal muscular atrophy with progressive myoclonic epilepsy
muscle	spinal muscular atrophy with congenital bone fractures 2
muscle	spinal muscular atrophy, distal, x-linked 3
muscle	muscular dystrophy, limb-girdle, autosomal recessive 25
muscle	limb-girdle muscular dystrophy type 2a
muscle	muscular dystrophies, limb-girdle
muscle	muscular dystrophy, limb-girdle, type 1c
muscle	rippling muscle disease, 1
muscle	muscular dystrophy, duchenne
muscle	spinal muscular atrophy, jokela type
muscle	muscular dystrophy, congenital, megaconial type
muscle	muscle spasticity
muscle	scleroatonic muscular dystrophy
muscle	fibrosis of extraocular muscles, congenital, 5
muscle	angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps
muscle	musculoskeletal pain
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 7
muscle	muscle rigidity
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 9
muscle	muscular dystrophy, animal
muscle	spinal muscular atrophy, distal, autosomal recessive, 5
muscle	muscular dystrophy, limb-girdle, type 1e
muscle	spinal muscular atrophies of childhood
muscle	limb-girdle muscular dystrophy, type 2b
muscle	muscular dystrophy, emery-dreifuss
muscle	myopathy, x-linked, with postural muscle atrophy
muscle	muscular dystrophy-dystroglycanopathy (congenital with or without impaired intellectual development), type b, 5
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 5
muscle	muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type b, 4
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 4
muscle	facioscapulohumeral muscular dystrophy 1a
muscle	muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 14
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 14
muscle	glycogen storage disease 0, muscle
muscle	limb-girdle muscular dystrophy, type 1g
muscle	dystonia musculorum deformans type 2
muscle	spinal muscular atrophy with respiratory distress 1
muscle	muscular dystrophy, congenital, with cataracts and intellectual disability
muscle	muscular dystrophy, congenital, due to integrin alpha-7 deficiency
muscle	fibrosis of extraocular muscles, congenital, 3b
muscle	muscular dystrophy congenital, merosin negative
muscle	muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 6
muscle	muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue
muscle	muscular dystrophy, congenital, lmna-related
muscle	muscular dystrophy, oculopharyngeal
muscle	muscle hypertrophy
muscle	myostatin-related muscle hypertrophy
muscle	smooth muscle tumor
muscle	muscle hypertonia
muscle	fibrosis of extraocular muscles, congenital, 2
muscle	epidermolysa bullosa simplex and limb girdle muscular dystrophy
muscle	muscular dystrophy, limb-girdle, autosomal recessive 17
muscle	spinal muscular atrophy, distal, autosomal recessive, 4
muscle	muscular dystrophy, limb-girdle, autosomal recessive 21
muscle	muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 3
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 3
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 12
muscle	muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual impairment), type b, 1
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 1
muscle	muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type b, 2
muscle	muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 2
muscle	limb-girdle muscular dystrophy, type 2e
muscle	limb-girdle muscular dystrophy type 2f
muscle	limb-girdle muscular dystrophy, type 2c
muscle	spinal muscular atrophy, jerash type
muscle	neuromuscular manifestations
muscle	facioscapulohumeral muscular dystrophy 1b
muscle	muscular atrophy, spinal
muscle	spinal muscular atrophy 4
muscle	muscular dystrophy, limb-girdle, type 2g
muscle	muscular dystrophy, limb-girdle, type 1f
muscle	dystonia musculorum deformans type 1
muscle	neuromuscular diseases
muscle	muscular dystrophy, limb-girdle, autosomal recessive 18
muscle	limb-girdle muscular dystrophy type 2h
muscle	muscular dystrophy, congenital, davignon-chauveau type
muscle	spinal muscular atrophy with congenital bone fractures 1
muscle	scapuloperoneal spinal muscular atrophy
muscle	spinal muscular atrophy, distal, congenital nonprogressive
muscle	muscular dystrophy, limb-girdle, type 2j
muscle	fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement
muscle	spinal muscular atrophy, proximal, adult, autosomal dominant
muscle	myoclonic epilepsies, progressive
muscle	myoclonic epilepsy, juvenile
muscle	epilepsy, familial adult myoclonic, 5
muscle	myoclonic dystonia
muscle	epilepsy, progressive myoclonic, 3, with or without intracellular inclusions
muscle	myoclonus, intractable, neonatal
muscle	epilepsy, familial adult myoclonic, 3
muscle	myoclonus
muscle	myoclonus, familial, 1
muscle	epilepsies, myoclonic
muscle	opsoclonus-myoclonus syndrome
muscle	prickle1-related progressive myoclonic epilepsy with ataxia
muscle	epilepsy, myoclonic, benign adult familial, type 1
muscle	epilepsy, progressive myoclonic, 4, with or without renal failure
muscle	myoclonic-atonic epilepsy
muscle	epilepsy, myoclonic, benign adult familial, type 2
muscle	myoclonic epilepsy, familial infantile
skin	inflammatory skin and bowel disease, neonatal, 1
skin	skin neoplasms
skin	skin diseases
skin	skin abnormalities
skin	infantile epileptic-dyskinetic encephalopathy
skin	wrinkly skin syndrome
skin	peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads
skin	skin manifestations
skin	peeling skin syndrome
skin	epidermolysis bullosa with congenital localized absence of skin and deformity of nails
skin	linear skin defects with multiple congenital anomalies 2
skin	hypotrichosis and recurrent skin vesicles
skin	skin fragility-woolly hair syndrome
skin	inflammatory skin and bowel disease, neonatal, 2
skin	skin diseases, vascular
skin	stiff skin syndrome
skin	skin ulcer
skin	tight skin contracture syndrome, lethal
skin	linear skin defects with multiple congenital anomalies 3
skin	ectodermal dysplasia-skin fragility syndrome
skin	palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal
skin	skin-hair-eye pigmentation, variation in, 4
skin	peeling skin syndrome, acral type
skin	dermatitis, allergic contact
skin	dermatitis, atopic
skin	dermatitis, contact
skin	dermatitis, occupational
skin	dermatitis, irritant
skin	dermatitis
skin	dermatitis, atopic, 2
skin	acrodermatitis
skin	microcephaly, congenital cataract, and psoriasiform dermatitis
skin	acrodermatitis enteropathica
skin	seborrhea-like dermatitis with psoriasiform elements
