Entry	Entry name	Status	Gene names
O43520	AT8B1_HUMAN	reviewed	ATP8B1 ATPIC FIC1 PFIC
Q4AC94	C2CD3_HUMAN	reviewed	C2CD3
Q14CW9	AT7L3_HUMAN	reviewed	ATXN7L3
Q17RA5	CMAS1_HUMAN	reviewed	C21orf62-AS1 C21orf49
P0C2W7	CT47B_HUMAN	reviewed	CT47B1 CT47.13
Q96PC3	AP1S3_HUMAN	reviewed	AP1S3
P04745	AMY1_HUMAN	reviewed	AMY1A AMY1; AMY1B AMY1; AMY1C AMY1
Q5CZ79	AN20B_HUMAN	reviewed	ANKRD20A8P ANKRD20B
Q09666	AHNK_HUMAN	reviewed	AHNAK PM227
Q96IK1	BOD1_HUMAN	reviewed	BOD1 FAM44B
Q96DG6	CMBL_HUMAN	reviewed	CMBL
Q14CN2	CLCA4_HUMAN	reviewed	CLCA4 CaCC2 UNQ562/PRO1124
Q8NCG5	CHST4_HUMAN	reviewed	CHST4
Q9BRR6	ADPGK_HUMAN	reviewed	ADPGK PSEC0260
Q9P003	CNIH4_HUMAN	reviewed	CNIH4 HSPC163
Q96NS8	CLUP3_HUMAN	reviewed	CLUHP3 C16orf67 KIAA0664L3
Q86U37	CN023_HUMAN	reviewed	LINC01551 C14orf23
P08034	CXB1_HUMAN	reviewed	GJB1 CX32
Q9H0C2	ADT4_HUMAN	reviewed	SLC25A31 AAC4 ANT4 SFEC
P01036	CYTS_HUMAN	reviewed	CST4
Q9Y6V7	DDX49_HUMAN	reviewed	DDX49
Q8NEG4	FA83F_HUMAN	reviewed	FAM83F
Q6ZRV2	FA83H_HUMAN	reviewed	FAM83H
P42830	CXCL5_HUMAN	reviewed	CXCL5 ENA78 SCYB5
Q9NVM6	DJC17_HUMAN	reviewed	DNAJC17
Q4G0N7	F229B_HUMAN	reviewed	FAM229B C6orf225
A0A1B0GUQ0	F236A_HUMAN	reviewed	FAM236A
Q96IJ6	GMPPA_HUMAN	reviewed	GMPPA
Q9BQI3	E2AK1_HUMAN	reviewed	EIF2AK1 HRI KIAA1369 PRO1362
H7C350	CC188_HUMAN	reviewed	CCDC188
Q15517	CDSN_HUMAN	reviewed	CDSN
O95573	ACSL3_HUMAN	reviewed	ACSL3 ACS3 FACL3 LACS3
P20039	2B1B_HUMAN	reviewed	HLA-DRB1
Q9H246	CA021_HUMAN	reviewed	C1orf21 PIG13
Q8WXQ8	CBPA5_HUMAN	reviewed	CPA5
Q8IYE0	CC146_HUMAN	reviewed	CCDC146 KIAA1505
Q96PE2	ARHGH_HUMAN	reviewed	ARHGEF17 KIAA0337 TEM4
O95841	ANGL1_HUMAN	reviewed	ANGPTL1 ANG3 ANGPT3 ARP1 PSEC0154 UNQ162/PRO188
Q8WZB0	CI130_HUMAN	reviewed	LINC00476 C9orf130 NAG12
Q96F63	CCD97_HUMAN	reviewed	CCDC97
Q6E213	AWAT2_HUMAN	reviewed	AWAT2 DC4 DGAT2L4 MFAT WS
P04222	1C03_HUMAN	reviewed	HLA-C HLAC
P16152	CBR1_HUMAN	reviewed	CBR1 CBR CRN SDR21C1
P07311	ACYP1_HUMAN	reviewed	ACYP1 ACYPE
Q6L9W6	B4GN3_HUMAN	reviewed	B4GALNT3
Q14CZ0	CP072_HUMAN	reviewed	C16orf72
Q8NE62	CHDH_HUMAN	reviewed	CHDH
Q16678	CP1B1_HUMAN	reviewed	CYP1B1
Q562R1	ACTBL_HUMAN	reviewed	ACTBL2
P31946	1433B_HUMAN	reviewed	YWHAB
Q9H6S1	AZI2_HUMAN	reviewed	AZI2 NAP1 TBKBP2
P0DMU7	CT456_HUMAN	reviewed	CT45A6 CT45-6
P78410	BT3A2_HUMAN	reviewed	BTN3A2 BT3.2 BTF3 BTF4
A6NH57	ARL5C_HUMAN	reviewed	ARL5C ARL12
Q8NHU2	CFA61_HUMAN	reviewed	CFAP61 C20orf26
Q5T9A4	ATD3B_HUMAN	reviewed	ATAD3B KIAA1273 TOB3
Q99218	AMELY_HUMAN	reviewed	AMELY AMGL AMGY
P30484	1B46_HUMAN	reviewed	HLA-B HLAB
P30481	1B44_HUMAN	reviewed	HLA-B HLAB
P07741	APT_HUMAN	reviewed	APRT
Q9BWP8	COL11_HUMAN	reviewed	COLEC11 UNQ596/PRO1182
Q9P1Z2	CACO1_HUMAN	reviewed	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996
Q8N8A2	ANR44_HUMAN	reviewed	ANKRD44
Q0P5P2	CQ067_HUMAN	reviewed	C17orf67
Q9BUF7	CRUM3_HUMAN	reviewed	CRB3 UNQ588/PRO1158
O95452	CXB6_HUMAN	reviewed	GJB6
Q15021	CND1_HUMAN	reviewed	NCAPD2 CAPD2 CNAP1 KIAA0159
P10589	COT1_HUMAN	reviewed	NR2F1 EAR3 ERBAL3 TFCOUP1
Q53ET0	CRTC2_HUMAN	reviewed	CRTC2 TORC2
O43809	CPSF5_HUMAN	reviewed	NUDT21 CFIM25 CPSF25 CPSF5
Q7Z5M8	AB12B_HUMAN	reviewed	ABHD12B C14orf29
P58335	ANTR2_HUMAN	reviewed	ANTXR2 CMG2
Q15003	CND2_HUMAN	reviewed	NCAPH BRRN BRRN1 CAPH KIAA0074
Q6P656	CF161_HUMAN	reviewed	CFAP161 C15orf26
Q9Y5P2	CSAG2_HUMAN	reviewed	CSAG2 TRAG3; CSAG3 CSAG3A
Q9NW15	ANO10_HUMAN	reviewed	ANO10 TMEM16K
P24468	COT2_HUMAN	reviewed	NR2F2 ARP1 TFCOUP2
Q8TE58	ATS15_HUMAN	reviewed	ADAMTS15
Q99798	ACON_HUMAN	reviewed	ACO2
Q9BZJ0	CRNL1_HUMAN	reviewed	CRNKL1 CRN CGI-201 MSTP021
Q6PL45	BRID5_HUMAN	reviewed	BRICD5 C16orf79
P00846	ATP6_HUMAN	reviewed	MT-ATP6 ATP6 ATPASE6 MTATP6
Q5TEZ5	CF163_HUMAN	reviewed	C6orf163
O75752	B3GL1_HUMAN	reviewed	B3GALNT1 B3GALT3 UNQ531/PRO1074
Q01954	BNC1_HUMAN	reviewed	BNC1 BNC
Q68CJ9	CR3L3_HUMAN	reviewed	CREB3L3 CREBH HYST1481
Q8IXJ9	ASXL1_HUMAN	reviewed	ASXL1 KIAA0978
Q9BYG0	B3GN5_HUMAN	reviewed	B3GNT5
Q9UKL4	CXD2_HUMAN	reviewed	GJD2 GJA9
P0C5K6	CT18_HUMAN	reviewed	VENTXP1
Q6FI81	CPIN1_HUMAN	reviewed	CIAPIN1 CUA001 PRO0915
Q8N6U2	CL033_HUMAN	reviewed	LINC00612 C12orf33
Q8TDC3	BRSK1_HUMAN	reviewed	BRSK1 KIAA1811 SAD1 SADB
Q5W188	CST9P_HUMAN	reviewed	CST9LP1
Q0VDE8	ADIG_HUMAN	reviewed	ADIG
Q9Y3E7	CHMP3_HUMAN	reviewed	CHMP3 CGI149 NEDF VPS24 CGI-149
Q9BRQ4	CF300_HUMAN	reviewed	CFAP300 C11orf70
Q400G9	AMZ1_HUMAN	reviewed	AMZ1 KIAA1950
Q6UX39	AMTN_HUMAN	reviewed	AMTN UNQ689/PRO1329
Q9BQ75	CMS1_HUMAN	reviewed	CMSS1 C3orf26
Q8NHS1	CLDN2_HUMAN	reviewed	CLDND2
Q96M02	CJ090_HUMAN	reviewed	C10orf90 FATS
Q9UKI2	BORG2_HUMAN	reviewed	CDC42EP3 BORG2 CEP3
P0CG13	CTF8_HUMAN	reviewed	CHTF8 CTF8
Q96DZ5	CLIP3_HUMAN	reviewed	CLIP3 CLIPR59
O14490	DLGP1_HUMAN	reviewed	DLGAP1 DAP1 GKAP
Q13231	CHIT1_HUMAN	reviewed	CHIT1
Q9P2D1	CHD7_HUMAN	reviewed	CHD7 KIAA1416
A4FU28	CTGE9_HUMAN	reviewed	CTAGE9
P21728	DRD1_HUMAN	reviewed	DRD1
Q8IZP9	AGRG2_HUMAN	reviewed	ADGRG2 GPR64 HE6 TM7LN2
Q6ZRZ4	CI047_HUMAN	reviewed	C9orf47 C9orf108
P12110	CO6A2_HUMAN	reviewed	COL6A2
P25067	CO8A2_HUMAN	reviewed	COL8A2
Q5VUB5	F1711_HUMAN	reviewed	FAM171A1 APCN C10orf38
Q86SQ4	AGRG6_HUMAN	reviewed	ADGRG6 DREG GPR126 VIGR
P0C7V4	F90AJ_HUMAN	reviewed	FAM90A15P FAM90A15
A8MVW0	F1712_HUMAN	reviewed	FAM171A2
O75937	DNJC8_HUMAN	reviewed	DNAJC8 SPF31 HSPC315 HSPC331
Q8WXF8	DEDD2_HUMAN	reviewed	DEDD2 FLAME3 PSEC0004
Q9Y315	DEOC_HUMAN	reviewed	DERA CGI-26
O15360	FANCA_HUMAN	reviewed	FANCA FAA FACA FANCH
O75072	FKTN_HUMAN	reviewed	FKTN FCMD
Q8N128	F177A_HUMAN	reviewed	FAM177A1 C14orf24
Q8N4W6	DJC22_HUMAN	reviewed	DNAJC22
Q8N8J7	F241A_HUMAN	reviewed	FAM241A C4orf32
Q8N9Y4	F181A_HUMAN	reviewed	FAM181A C14orf152 HSD-31 HSD31
Q9H936	GHC1_HUMAN	reviewed	SLC25A22 GC1
O95672	ECEL1_HUMAN	reviewed	ECEL1 XCE UNQ2431/PRO4991
P04899	GNAI2_HUMAN	reviewed	GNAI2 GNAI2B
Q6IN97	FRP2L_HUMAN	reviewed	FRMPD2B FRMPD2L1 FRMPD2L2 FRMPD2P1 FRMPD2P2 PDZD5A PDZD5B PDZK5A PDZK5B
Q92805	GOGA1_HUMAN	reviewed	GOLGA1
O15228	GNPAT_HUMAN	reviewed	GNPAT DAPAT DHAPAT
A8MQT2	GOG8B_HUMAN	reviewed	GOLGA8B
P80370	DLK1_HUMAN	reviewed	DLK1 DLK
Q8TBA6	GOGA5_HUMAN	reviewed	GOLGA5 RETII RFG5 PIG31
P54851	EMP2_HUMAN	reviewed	EMP2 XMP
Q4G0N0	GGTA1_HUMAN	reviewed	GGTA1P GGTA1
Q96IV6	FXDC2_HUMAN	reviewed	FAXDC2 C5orf4
Q15329	E2F5_HUMAN	reviewed	E2F5
Q9BS18	APC13_HUMAN	reviewed	ANAPC13
P0DO97	CC192_HUMAN	reviewed	CCDC192 LINC01183
Q96DE5	APC16_HUMAN	reviewed	ANAPC16 C10orf104 CENP-27
Q5T5A4	CA194_HUMAN	reviewed	C1orf194
A8MZ97	CB074_HUMAN	reviewed	C2orf74
P27348	1433T_HUMAN	reviewed	YWHAQ
Q8N888	BCOR2_HUMAN	reviewed	BCORP1 BCORL2
Q8N5B7	CERS5_HUMAN	reviewed	CERS5 LASS5
P51636	CAV2_HUMAN	reviewed	CAV2
Q5H9F3	BCORL_HUMAN	reviewed	BCORL1
O94812	BAIP3_HUMAN	reviewed	BAIAP3 KIAA0734
Q99616	CCL13_HUMAN	reviewed	CCL13 MCP4 NCC1 SCYA13
P13688	CEAM1_HUMAN	reviewed	CEACAM1 BGP BGP1
P62952	BLCAP_HUMAN	reviewed	BLCAP BC10
Q9H981	ARP8_HUMAN	reviewed	ACTR8 ARP8 INO80N
P63261	ACTG_HUMAN	reviewed	ACTG1 ACTG
Q8NFJ9	BBS1_HUMAN	reviewed	BBS1 BBS2L2
A8MVX0	ARG33_HUMAN	reviewed	ARHGEF33
Q8ND23	CARL3_HUMAN	reviewed	CARMIL3 C14orf121 LRRC16B
P00352	AL1A1_HUMAN	reviewed	ALDH1A1 ALDC ALDH1 PUMB1
P0DN79	CBSL_HUMAN	reviewed	CBSL
P13611	CSPG2_HUMAN	reviewed	VCAN CSPG2
Q6UWD8	CP054_HUMAN	reviewed	C16orf54 UNQ9389/PRO34280
Q07075	AMPE_HUMAN	reviewed	ENPEP
Q9Y6E2	BZW2_HUMAN	reviewed	BZW2 HSPC028 MSTP017
Q8IWZ3	ANKH1_HUMAN	reviewed	ANKHD1 KIAA1085 MASK VBARP PP2500
P05177	CP1A2_HUMAN	reviewed	CYP1A2
Q13085	ACACA_HUMAN	reviewed	ACACA ACAC ACC1 ACCA
Q7Z5J8	ANKAR_HUMAN	reviewed	ANKAR
Q9UG63	ABCF2_HUMAN	reviewed	ABCF2 HUSSY-18
Q2TAA5	ALG11_HUMAN	reviewed	ALG11 GT8
Q9ULH1	ASAP1_HUMAN	reviewed	ASAP1 DDEF1 KIAA1249
Q9H0R1	AP5M1_HUMAN	reviewed	AP5M1 C14orf108 MUDENG
Q8NBQ7	AQP11_HUMAN	reviewed	AQP11 AQPX1 PSEC0027
Q8N7U9	CQ054_HUMAN	reviewed	LINC00469 C17orf54
Q8WWH4	ASZ1_HUMAN	reviewed	ASZ1 ALP1 ANKL1 C7orf7 GASZ
Q9Y6N8	CAD10_HUMAN	reviewed	CDH10
Q8NC06	ACBD4_HUMAN	reviewed	ACBD4 HMFT0700
Q8IVJ8	APRG1_HUMAN	reviewed	APRG1 C3orf35
P04234	CD3D_HUMAN	reviewed	CD3D T3D
Q9BPX7	CG025_HUMAN	reviewed	C7orf25
P13236	CCL4_HUMAN	reviewed	CCL4 LAG1 MIP1B SCYA4
Q02318	CP27A_HUMAN	reviewed	CYP27A1 CYP27
A0PJZ0	A20A5_HUMAN	reviewed	ANKRD20A5P ANKRD20A5
Q8NHQ1	CEP70_HUMAN	reviewed	CEP70 BITE
P09693	CD3G_HUMAN	reviewed	CD3G T3G
P55290	CAD13_HUMAN	reviewed	CDH13 CDHH
Q5QJU3	ACER2_HUMAN	reviewed	ACER2 ASAH3L PP11646
P02745	C1QA_HUMAN	reviewed	C1QA
Q9UNA3	A4GCT_HUMAN	reviewed	A4GNT
Q8N8U9	BMPER_HUMAN	reviewed	BMPER KIAA1965
Q9P299	COPZ2_HUMAN	reviewed	COPZ2
P25063	CD24_HUMAN	reviewed	CD24 CD24A
Q2M3G0	ABCB5_HUMAN	reviewed	ABCB5
P54709	AT1B3_HUMAN	reviewed	ATP1B3
P48751	B3A3_HUMAN	reviewed	SLC4A3 AE3
Q00597	FANCC_HUMAN	reviewed	FANCC FAC FACC
Q8NC01	CLC1A_HUMAN	reviewed	CLEC1A CLEC1 UNQ569/PRO1131
P51589	CP2J2_HUMAN	reviewed	CYP2J2
Q16720	AT2B3_HUMAN	reviewed	ATP2B3
Q6UXB4	CLC4G_HUMAN	reviewed	CLEC4G UNQ431/PRO792
P02656	APOC3_HUMAN	reviewed	APOC3
Q96B33	CLD23_HUMAN	reviewed	CLDN23
P20594	ANPRB_HUMAN	reviewed	NPR2 ANPRB
Q9NSK7	CS012_HUMAN	reviewed	C19orf12
P20648	ATP4A_HUMAN	reviewed	ATP4A
Q92485	ASM3B_HUMAN	reviewed	SMPDL3B ASML3B ASMLPD
Q9Y6Q5	AP1M2_HUMAN	reviewed	AP1M2
Q9ULM6	CNOT6_HUMAN	reviewed	CNOT6 CCR4 CCR4a KIAA1194
A8MZ36	EVPLL_HUMAN	reviewed	EVPLL
Q8N812	CL076_HUMAN	reviewed	C12orf76
Q2NKJ3	CTC1_HUMAN	reviewed	CTC1 C17orf68
A9YTQ3	AHRR_HUMAN	reviewed	AHRR BHLHE77 KIAA1234
Q9P2K8	E2AK4_HUMAN	reviewed	EIF2AK4 GCN2 KIAA1338
Q5JTJ3	COA6_HUMAN	reviewed	COA6 C1orf31
Q00610	CLH1_HUMAN	reviewed	CLTC CLH17 CLTCL2 KIAA0034
P26992	CNTFR_HUMAN	reviewed	CNTFR
Q8N9M1	CS047_HUMAN	reviewed	C19orf47
O14493	CLD4_HUMAN	reviewed	CLDN4 CPER CPETR1 WBSCR8
Q96B45	BORC7_HUMAN	reviewed	BORCS7 C10orf32
Q9HB96	FANCE_HUMAN	reviewed	FANCE FACE
Q13467	FZD5_HUMAN	reviewed	FZD5 C2orf31
O00399	DCTN6_HUMAN	reviewed	DCTN6 WS3
Q6NSW5	FA45B_HUMAN	reviewed	FAM45BP FAM45 HT011
P22749	GNLY_HUMAN	reviewed	GNLY LAG2 NKG5 TLA519
Q63HN1	F205B_HUMAN	reviewed	FAM205BP C9orf144 C9orf144A FAM205B
Q14209	E2F2_HUMAN	reviewed	E2F2
O95715	CXL14_HUMAN	reviewed	CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273
O14625	CXL11_HUMAN	reviewed	CXCL11 ITAC SCYB11 SCYB9B
Q9NYJ7	DLL3_HUMAN	reviewed	DLL3
A0A1B0GTI1	CC201_HUMAN	reviewed	CCDC201
Q8WWX0	ASB5_HUMAN	reviewed	ASB5
Q9UL15	BAG5_HUMAN	reviewed	BAG5 KIAA0873
Q9BT30	ALKB7_HUMAN	reviewed	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564
Q6ZNB7	ALKMO_HUMAN	reviewed	AGMO TMEM195
Q5SR53	CA200_HUMAN	reviewed	PIK3CD-AS1 C1orf200
O60218	AK1BA_HUMAN	reviewed	AKR1B10 AKR1B11
Q6UWT4	CE046_HUMAN	reviewed	C5orf46 UNQ472/PRO839
O43687	AKA7A_HUMAN	reviewed	AKAP7 AKAP15 AKAP18
Q8N7Q2	CEAS1_HUMAN	reviewed	CELF2-AS1 C10orf31
Q05682	CALD1_HUMAN	reviewed	CALD1 CAD CDM
O95196	CSPG5_HUMAN	reviewed	CSPG5 CALEB NGC
Q5T5M9	CCNJ_HUMAN	reviewed	CCNJ
P61221	ABCE1_HUMAN	reviewed	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40
Q09160	1A80_HUMAN	reviewed	HLA-A HLAA
Q96KV6	BT2A3_HUMAN	reviewed	BTN2A3P BTN2A3
Q6UWY0	ARSK_HUMAN	reviewed	ARSK TSULF UNQ630/PRO1246
Q9UKU7	ACAD8_HUMAN	reviewed	ACAD8 ARC42 IBD
Q99622	C10_HUMAN	reviewed	C12orf57 C10
Q92858	ATOH1_HUMAN	reviewed	ATOH1 ATH1 BHLHA14
P42575	CASP2_HUMAN	reviewed	CASP2 ICH1 NEDD2
P38432	COIL_HUMAN	reviewed	COIL CLN80
P46952	3HAO_HUMAN	reviewed	HAAO
Q9ULK2	AT7L1_HUMAN	reviewed	ATXN7L1 ATXN7L4 KIAA1218
P11310	ACADM_HUMAN	reviewed	ACADM
C9JDV5	CL097_HUMAN	reviewed	C12orf77
Q9P218	COKA1_HUMAN	reviewed	COL20A1 KIAA1510
Q9P1Y5	CAMP3_HUMAN	reviewed	CAMSAP3 KIAA1543
Q15327	ANKR1_HUMAN	reviewed	ANKRD1 C193 CARP HA1A2
P30475	1B39_HUMAN	reviewed	HLA-B HLAB
Q9UBT7	CTNL1_HUMAN	reviewed	CTNNAL1
A6NFT4	CFA73_HUMAN	reviewed	CFAP73 CCDC42B
P49419	AL7A1_HUMAN	reviewed	ALDH7A1 ATQ1
P15336	ATF2_HUMAN	reviewed	ATF2 CREB2 CREBP1
A6NM10	AQ12B_HUMAN	reviewed	AQP12B
P49069	CAMLG_HUMAN	reviewed	CAMLG CAML
Q9Y258	CCL26_HUMAN	reviewed	CCL26 SCYA26 UNQ216/PRO242
P49748	ACADV_HUMAN	reviewed	ACADVL VLCAD
Q9BYT9	ANO3_HUMAN	reviewed	ANO3 C11orf25 TMEM16C GENX-3947
Q8NCR0	B3GL2_HUMAN	reviewed	B3GALNT2
Q96DT6	ATG4C_HUMAN	reviewed	ATG4C APG4C AUTL1 AUTL3
P55201	BRPF1_HUMAN	reviewed	BRPF1 BR140
Q99675	CGRF1_HUMAN	reviewed	CGRRF1 CGR19 RNF197
Q9NY97	B3GN2_HUMAN	reviewed	B3GNT2 B3GALT7 B3GNT1
O14810	CPLX1_HUMAN	reviewed	CPLX1
P56856	CLD18_HUMAN	reviewed	CLDN18 UNQ778/PRO1572
Q8N999	CL029_HUMAN	reviewed	C12orf29
P09496	CLCA_HUMAN	reviewed	CLTA
Q9H112	CST11_HUMAN	reviewed	CST11 CST8L
Q92523	CPT1B_HUMAN	reviewed	CPT1B KIAA1670
C9JXX5	CK094_HUMAN	reviewed	C11orf94
Q8IZ83	A16A1_HUMAN	reviewed	ALDH16A1
Q8N123	CPXCR_HUMAN	reviewed	CPXCR1
O60716	CTND1_HUMAN	reviewed	CTNND1 KIAA0384
A2A2Z9	AN18B_HUMAN	reviewed	ANKRD18B
Q86X52	CHSS1_HUMAN	reviewed	CHSY1 CHSY CSS1 KIAA0990 UNQ756/PRO1487
Q8N129	CNPY4_HUMAN	reviewed	CNPY4 PSEC0237 UNQ1909/PRO4354
Q02246	CNTN2_HUMAN	reviewed	CNTN2 AXT TAG1 TAX1
Q8N0X4	CLYBL_HUMAN	reviewed	CLYBL CLB
Q02928	CP4AB_HUMAN	reviewed	CYP4A11 CYP4A2
P09228	CYTT_HUMAN	reviewed	CST2
P32321	DCTD_HUMAN	reviewed	DCTD
Q8WU58	F222B_HUMAN	reviewed	FAM222B C17orf63
Q13474	DRP2_HUMAN	reviewed	DRP2
P28715	ERCC5_HUMAN	reviewed	ERCC5 ERCM2 XPG XPGC
Q9BXX3	AN30A_HUMAN	reviewed	ANKRD30A
Q9Y2E4	DIP2C_HUMAN	reviewed	DIP2C KIAA0934
Q86UY5	FA83A_HUMAN	reviewed	FAM83A TSGP
P14416	DRD2_HUMAN	reviewed	DRD2
Q86SX6	GLRX5_HUMAN	reviewed	GLRX5 C14orf87
Q9NYA3	GOG6A_HUMAN	reviewed	GOLGA6A GLP GOLGA6
Q9UBX5	FBLN5_HUMAN	reviewed	FBLN5 DANCE UNQ184/PRO210
O43739	CYH3_HUMAN	reviewed	CYTH3 ARNO3 GRP1 PSCD3
Q92841	DDX17_HUMAN	reviewed	DDX17
Q02790	FKBP4_HUMAN	reviewed	FKBP4 FKBP52
Q9H0Q0	FA49A_HUMAN	reviewed	FAM49A
P28562	DUS1_HUMAN	reviewed	DUSP1 CL100 MKP1 PTPN10 VH1
O60443	GSDME_HUMAN	reviewed	GSDME DFNA5 ICERE1
P39059	COFA1_HUMAN	reviewed	COL15A1
Q13705	AVR2B_HUMAN	reviewed	ACVR2B
Q8N6G1	CA211_HUMAN	reviewed	LINC00337 C1orf211 NCRNA00337
P21926	CD9_HUMAN	reviewed	CD9 MIC3 TSPAN29 GIG2
P22748	CAH4_HUMAN	reviewed	CA4
Q9Y232	CDYL_HUMAN	reviewed	CDYL CDYL1
Q9HC77	CENPJ_HUMAN	reviewed	CENPJ CPAP LAP LIP1
P23435	CBLN1_HUMAN	reviewed	CBLN1
O00154	BACH_HUMAN	reviewed	ACOT7 BACH
P0DMS8	AA3R_HUMAN	reviewed	ADORA3
Q7Z695	ADCK2_HUMAN	reviewed	ADCK2 AARF
Q8N7W2	BEND7_HUMAN	reviewed	BEND7 C10orf30
P06731	CEAM5_HUMAN	reviewed	CEACAM5 CEA
Q96B36	AKTS1_HUMAN	reviewed	AKT1S1 PRAS40
Q15389	ANGP1_HUMAN	reviewed	ANGPT1 KIAA0003
Q9TNN7	1C05_HUMAN	reviewed	HLA-C HLAC
P15848	ARSB_HUMAN	reviewed	ARSB
Q99715	COCA1_HUMAN	reviewed	COL12A1 COL12A1L
Q9Y3Q7	ADA18_HUMAN	reviewed	ADAM18 TMDC3 UNQ858/PRO1867
Q86V21	AACS_HUMAN	reviewed	AACS ACSF1
Q6UXS9	CASPC_HUMAN	reviewed	CASP12 UNQ9415/PRO34398
P25100	ADA1D_HUMAN	reviewed	ADRA1D ADRA1A
