adverse_event	pathway	size	p_value	adjusted_p_value
colitis	G protein-coupled adenosine receptor signaling pathway	10	6.1347491445654e-05	0.0407210321843154
colitis	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	69	6.83927312467507e-05	0.0407210321843154
colitis	sensory perception	11	9.35722606005991e-05	0.0464274366346639
renal injury	intracellular steroid hormone receptor signaling pathway	13	1.46565588631029e-08	4.36325757354572e-05
renal injury	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	66	2.70480744673847e-05	0.0227924897323469
renal injury	extracellular matrix disassembly	72	2.87367535572729e-05	0.0227924897323469
renal injury	cellular response to glucocorticoid stimulus	24	3.06247762611312e-05	0.0227924897323469
renal injury	regulation of sensory perception of pain	32	6.24778791827111e-05	0.0371993292653862
muscle rigidity	positive regulation of smooth muscle cell proliferation	63	1.19034727218459e-07	0.000354366382929353
muscle rigidity	cAMP catabolic process	10	6.71805223144355e-07	0.00095101089738609
muscle rigidity	regulation of dopamine metabolic process	10	9.58358311104558e-07	0.00095101089738609
muscle rigidity	positive regulation of MAP kinase activity	75	7.3340767893582e-06	0.00481763850914406
muscle rigidity	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	66	9.45920123419806e-06	0.00481763850914406
muscle rigidity	extracellular matrix disassembly	72	1.00546711434078e-05	0.00481763850914406
muscle rigidity	peptidyl-threonine phosphorylation	95	1.13280045562675e-05	0.00481763850914406
muscle rigidity	circadian rhythm	77	1.67335975973652e-05	0.00622699000591951
muscle rigidity	positive regulation of vasoconstriction	33	3.48431778665119e-05	0.0115253489454007
muscle rigidity	response to cocaine	35	5.04464944934151e-05	0.0148726755202006
muscle rigidity	one-carbon metabolic process	41	5.49544611092399e-05	0.0148726755202006
muscle rigidity	bicarbonate transport	74	8.76087941742276e-05	0.0217342816880563
muscle rigidity	visual learning	47	0.000122868686074224	0.0281369291109973
muscle rigidity	negative regulation of autophagy	60	0.000147887609236712	0.0314472437641209
muscle rigidity	response to dexamethasone	10	0.000184178355945085	0.0365532643765678
muscle rigidity	tongue development	12	0.000224814463774878	0.0418295411661132
myoclonus	positive regulation of smooth muscle cell proliferation	63	5.603623964649e-07	0.00166819885427601
myoclonus	positive regulation of vasoconstriction	33	1.5865332702117e-06	0.00236155477271012
myoclonus	prepulse inhibition	15	9.04217263415813e-06	0.00831223591005639
myoclonus	regulation of synaptic vesicle exocytosis	57	1.11686072019569e-05	0.00831223591005639
myoclonus	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	66	3.18400575159566e-05	0.016782794282016
myoclonus	extracellular matrix disassembly	72	3.38249128962365e-05	0.016782794282016
myoclonus	G protein-coupled serotonin receptor signaling pathway	25	4.48189506229048e-05	0.0190608594291982
myoclonus	positive regulation of reactive oxygen species metabolic process	28	5.67747346163973e-05	0.0211272981191269
myoclonus	positive regulation of cell growth	86	7.57214836136912e-05	0.0250469840797732
myoclonus	positive regulation of mitotic cell cycle	33	8.6566655077996e-05	0.0257708932167194
rash erythematous	phospholipase C-activating G protein-coupled receptor signaling pathway	65	3.79957467001407e-08	0.000113113337926319
rash erythematous	cellular response to amyloid-beta	45	1.85480714994703e-07	0.000276088044269616
rash erythematous	calcium-mediated signaling	97	6.88735643917622e-06	0.00632119182622143
rash erythematous	positive regulation of synaptic transmission, GABAergic	13	8.49337161736168e-06	0.00632119182622143
rash erythematous	regulation of synaptic vesicle exocytosis	57	1.88835737476859e-05	0.00992956304579771
rash erythematous	astrocyte activation	19	2.00125556851818e-05	0.00992956304579771
rash erythematous	positive regulation of chemokine production	20	2.83895053334927e-05	0.0120736510539725
rash erythematous	cell chemotaxis	77	6.77785203714861e-05	0.0248021020909054
rash erythematous	intracellular receptor signaling pathway	26	7.49811618468757e-05	0.0248021020909054
rash erythematous	positive regulation of vascular endothelial growth factor production	34	9.40513496005063e-05	0.0279990867760707
rash erythematous	regulation of tumor necrosis factor-mediated signaling pathway	39	0.000104667295523018	0.0283267762520023
rash erythematous	negative regulation of endothelial cell proliferation	37	0.000128178480372125	0.0317989446723179
rash macular	positive regulation of synaptic transmission, GABAergic	13	7.64559037599131e-07	0.00227609225493261
rash macular	one-carbon metabolic process	41	1.86698205325921e-05	0.0238555450246751
rash macular	bicarbonate transport	74	2.984553771155e-05	0.0238555450246751
rash macular	collagen catabolic process	65	3.20531340606988e-05	0.0238555450246751
pancytopenia	one-carbon metabolic process	41	2.49094586355868e-06	0.0074155458358142
pancytopenia	protein deacetylation	38	6.40184629249579e-06	0.00952914820637998
pancytopenia	execution phase of apoptosis	33	4.47073669578742e-05	0.0443646104778639
pancytopenia	response to antibiotic	32	6.24778791827111e-05	0.0464991615817327
